title,audienceRating,contentRating,durationHuman,rating,studio,year
Collateral Beauty,6.4,PG-13,1 hr 37 mins,1.3,Village Roadshow Pictures,2016
Come and See,9.5,Not Rated,2 hrs 23 mins,9.7,Belarusfilm,1985
Coming 2 America,,PG-13,1 hr 49 mins,6.6,Paramount,2021
Coming to America,,R,1 hr 57 mins,6.8,Paramount,1988
The Conjuring,,R,1 hr 52 mins,7.5,New Line Cinema,2013
The Conjuring 2,,R,2 hrs 14 mins,7.3,New Line Cinema,2016
The Conjuring: The Devil Made Me Do It,,R,1 hr 52 mins,7.6,New Line Cinema,2021
Constantine,7.2,R,2 hrs,4.6,Village Roadshow Pictures,2005
The Conversation,8.9,PG,1 hr 54 mins,9.7,Paramount,1974
"Crazy, Stupid, Love.",7.8,PG-13,1 hr 58 mins,7.9,Warner Bros. Pictures,2011
Creed,,PG-13,2 hrs 13 mins,7.4,New Line Cinema,2015
Creed II,,PG-13,2 hrs 10 mins,7,New Line Cinema,2018
"Crouching Tiger, Hidden Dragon",8.6,PG-13,2 hrs,9.7,China Film Co-Production Corporation,2000
The Crow,9,R,1 hr 42 mins,8.4,Miramax,1994
Cruella,9.7,PG-13,2 hrs 14 mins,7.4,Walt Disney Pictures,2021
Cult of Chucky,4.9,R,1 hr 31 mins,7.7,Universal 1440 Entertainment,2017
The Curious Case of Benjamin Button,8,PG-13,2 hrs 46 mins,7.1,Paramount,2008
Curse of Chucky,5.6,R,1 hr 37 mins,7.6,Universal 1440 Entertainment,2013
The Curse of La Llorona,,R,1 hr 33 mins,5.7,New Line Cinema,2019
The Da Vinci Code,5.7,PG-13,2 hrs 29 mins,2.5,Imagine Entertainment,2006
Daddy's Home,4.9,PG-13,1 hr 36 mins,3,Paramount,2015
Daddy's Home 2,5.1,PG-13,1 hr 40 mins,2.1,Red Granite Pictures,2017
Daredevil,3.5,PG-13,2 hrs 13 mins,4.3,20th Century Fox,2003
Dark Phoenix,,PG-13,1 hr 54 mins,6,20th Century Fox,2019
The Dark Tower,,PG-13,1 hr 35 mins,5.7,Columbia Pictures,2017
Darkman,5.9,R,1 hr 35 mins,8.3,Universal Pictures,1990
Dawn of the Dead,9,Not Rated,2 hrs 7 mins,9.2,Dawn Associates,1978
Dawn of the Dead,7.7,R,1 hr 51 mins,7.6,Universal Pictures,2004
Dawn of the Planet of the Apes,,PG-13,2 hrs 10 mins,7.3,Ingenious Media,2014
The Day After Tomorrow,5,PG-13,2 hrs 4 mins,4.5,20th Century Fox,2004
Day of the Dead,7.5,Not Rated,1 hr 41 mins,8.3,Laurel Entertainment,1985
Deadgirl,4,R,1 hr 42 mins,2.9,Hollywoodmade,2013
Deadpool,,R,1 hr 48 mins,7.6,20th Century Fox,2016
Deadpool 2,,R,2 hrs 14 mins,7.5,20th Century Fox,2018
Dear Zachary: A Letter to a Son About His Father,9.6,Not Rated,1 hr 34 mins,9.4,MSNBC Films,2008
The Deer Hunter,9.1,R,3 hrs 4 mins,8.9,Universal Pictures,1979
Deliverance,8.2,R,1 hr 49 mins,8.9,Warner Bros. Pictures,1972
Demolition Man,6.6,R,1 hr 55 mins,6.2,Warner Bros. Pictures,1993
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,,R,2 hrs,8.4,Aniplex,2021
The Departed,9.4,R,2 hrs 31 mins,9,Vertigo Entertainment,2006
The Devil Wears Prada,7.6,PG-13,1 hr 49 mins,7.5,Fox 2000 Pictures,2006
Diamonds Are Forever,5.8,PG,2 hrs,6.4,United Artists,1971
Diary of the Dead,4.1,R,1 hr 36 mins,6.2,Artfire Films,2008
Dick Tracy,5.3,PG,1 hr 45 mins,6.4,Touchstone Pictures,1990
The Dictator,4.4,R,1 hr 39 mins,5.7,Paramount,2012
Die Another Day,4.1,PG-13,2 hrs 12 mins,5.6,Metro-Goldwyn-Mayer,2002
Die Hard,9.4,R,2 hrs 12 mins,9.4,Gordon Company,1988
Die Hard 2,7,R,2 hrs 3 mins,6.9,Gordon Company,1990
Die Hard with a Vengeance,8.3,R,2 hrs 9 mins,5.9,Cinergi Pictures Entertainment,1995
The Disaster Artist,8.5,R,1 hr 44 mins,9.1,New Line Cinema,2017
District 9,8.2,R,1 hr 52 mins,9,TriStar Pictures,2009
District 13: Ultimatum,5.5,R,1 hr 41 mins,7.5,Canal+,2009
District B13,7.8,R,1 hr 25 mins,8,Canal+,2004
Disturbia,7.7,PG-13,1 hr 45 mins,6.9,Paramount,2007
Divergent,,PG-13,2 hrs 20 mins,6.9,Summit Entertainment,2014
Django Unchained,9.2,R,2 hrs 45 mins,8.6,Columbia Pictures,2012
Doctor Strange,,PG-13,1 hr 55 mins,7.4,Marvel Studios,2016
Doctor Strange in the Multiverse of Madness,8.5,PG-13,2 hrs 7 mins,7.4,Marvel Studios,2022
,,,,,,
Dog Day Afternoon,9,R,2 hrs 5 mins,9.6,Warner Bros. Pictures,1975
Dogtooth,7.6,Not Rated,1 hr 37 mins,9.3,Greek Film Centre,2009
Dolittle,,PG,1 hr 41 mins,6.7,Universal Pictures,2020
Donnie Darko,8,R,1 hr 53 mins,8.6,Flower Films,2001
Dr. No,8.2,PG,1 hr 50 mins,9.5,United Artists,1962
Dracula Untold,,PG-13,1 hr 32 mins,6.4,Universal Pictures,2014
Dragon Ball Super: Broly,,PG,1 hr 40 mins,7.8,Shueisha,2018
Dredd,,R,1 hr 36 mins,6.8,DNA Films,2012
Drive,7.9,R,1 hr 40 mins,9.3,Bold Films,2011
Dumbo,4.8,PG,1 hr 52 mins,4.6,Walt Disney Pictures,2019
Dune,6.5,PG-13,2 hrs 17 mins,4.3,Dino De Laurentiis Company,1984
Dune,,,2 hrs 35 mins,7.9,Legendary Pictures,2021
Dunkirk,,PG-13,1 hr 47 mins,7.5,Warner Bros. Pictures,2017
Edge of Tomorrow,9,PG-13,1 hr 53 mins,9.1,RatPac Entertainment,2014
Edward Scissorhands,9.1,PG-13,1 hr 45 mins,9,20th Century Fox,1990
Elektra,2.9,PG-13,1 hr 40 mins,1.1,Regency Enterprises,2005
Elysium,5.8,R,1 hr 50 mins,6.5,Genre Films,2013
Ender's Game,6.5,PG-13,1 hr 54 mins,6.2,Digital Domain,2013
Enemy of the State,7.8,R,2 hrs 12 mins,7.2,Jerry Bruckheimer Films,1998
Eraserhead,8.2,Not Rated,1 hr 29 mins,9,American Film Institute (AFI),1978
Eternals,,,2 hrs 36 mins,7.1,Marvel Studios,2021
Evan Almighty,5.2,PG,1 hr 36 mins,2.3,Universal Pictures,2007
Event Horizon,6.1,R,1 hr 36 mins,2.9,Impact Pictures,1997
The Evil Dead,8.4,NC-17,1 hr 25 mins,9.5,Renaissance Pictures,1983
Evil Dead,6.3,R,1 hr 36 mins,6.3,TriStar Pictures,2013
Evil Dead II,8.9,R,1 hr 24 mins,9.5,Rosebud Releasing Corporation,1987
Ex Machina,8.6,R,1 hr 48 mins,9.2,DNA Films,2015
The Exorcist,8.7,R,2 hrs 12 mins,8.4,Warner Bros. Pictures,1973
F9,,,2 hrs 30 mins,7.3,Original Film,2021
Fantastic Beasts and Where to Find Them,,PG-13,2 hrs 13 mins,7.3,Warner Bros. Pictures,2016
Fantastic Beasts: The Crimes of Grindelwald,,PG-13,2 hrs 21 mins,6.9,Warner Bros. Pictures,2018
Fantastic Beasts: The Secrets of Dumbledore,8.3,PG-13,2 hrs 23 mins,4.6,Warner Bros. Pictures,2022
Fantastic Four,4.5,PG-13,1 hr 45 mins,2.8,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,2005
Fantastic Four,1.8,PG-13,1 hr 40 mins,0.9,Moving Picture Company,2015
Fantastic Four: Rise of the Silver Surfer,5.1,PG-13,1 hr 32 mins,3.7,1492 Pictures,2007
Fargo,9.3,R,1 hr 38 mins,9.4,PolyGram Filmed Entertainment,1996
Fast & Furious,,PG-13,1 hr 47 mins,6.7,Universal Pictures,2009
Fast & Furious 6,,PG-13,2 hrs 11 mins,6.8,Universal Pictures,2013
Fast & Furious Presents: Hobbs & Shaw,,PG-13,2 hrs 17 mins,6.9,Universal Pictures,2019
The Fast and the Furious,,PG-13,1 hr 47 mins,6.9,Universal Pictures,2001
The Fast and the Furious: Tokyo Drift,,PG-13,1 hr 44 mins,6.4,Universal Pictures,2006
Fast Five,,PG-13,2 hrs 12 mins,7.2,Universal Pictures,2011
The Fate of the Furious,,PG-13,2 hrs 16 mins,6.9,Universal Pictures,2017
The Fault in Our Stars,8.5,PG-13,2 hrs 13 mins,8.1,TSG Entertainment,2014
Fear and Loathing in Las Vegas,8.9,R,1 hr 58 mins,4.9,Universal Pictures,1998
Fences,7.5,PG-13,2 hrs 19 mins,9.2,Paramount,2016
Ferris Bueller's Day Off,9.2,PG-13,1 hr 43 mins,8.1,Paramount,1986
Fifty Shades Darker,4.8,R,2 hrs 11 mins,1.1,Universal Pictures,2017
Fifty Shades Freed,3.7,R,1 hr 50 mins,1.1,Universal Pictures,2018
Fifty Shades of Grey,4.1,R,2 hrs 8 mins,2.5,Trigger Street Productions,2015
Fight Club,9.6,R,2 hrs 19 mins,7.9,Regency Enterprises,1999
Final Destination,6.8,R,1 hr 38 mins,3.5,New Line Cinema,2000
The Final Destination,3.5,R,1 hr 22 mins,2.8,New Line Cinema,2009
Final Destination 2,5.8,R,1 hr 30 mins,4.8,New Line Cinema,2003
Final Destination 3,5.7,R,1 hr 33 mins,4.4,New Line Cinema,2006
Final Destination 5,5.2,R,1 hr 32 mins,6.2,New Line Cinema,2011
The First Purge,2.7,R,1 hr 37 mins,5.6,Platinum Dunes,2018
For Your Eyes Only,6.4,PG,2 hrs 8 mins,7.2,United Artists,1981
The Forever Purge,7.8,R,1 hr 44 mins,4.9,Blumhouse Productions,2021
Forrest Gump,9.5,PG-13,2 hrs 22 mins,7.1,Paramount,1994
The Fourth Kind,4.1,PG-13,1 hr 38 mins,1.8,Universal Pictures,2009
Freddy vs. Jason,5,R,1 hr 37 mins,4.1,New Line Cinema,2003
Freddy's Dead: The Final Nightmare,3.2,R,1 hr 29 mins,2.4,New Line Cinema,1991
Free Guy,9.4,PG-13,1 hr 55 mins,8,21 Laps Entertainment,2021
Friday,9.1,R,1 hr 37 mins,7.6,New Line Cinema,1995
Friday After Next,7.5,R,1 hr 24 mins,2.6,New Line Cinema,2002
Friday Night Lights,8.5,PG-13,1 hr 58 mins,8.2,Imagine Entertainment,2004
Friday the 13th,6,R,1 hr 35 mins,6.3,Paramount,1980
Friday the 13th,4.6,R,1 hr 46 mins,2.6,Paramount,2009
Friday the 13th Part II,4.8,R,1 hr 27 mins,2.7,Paramount,1981
Friday the 13th Part III,4.2,R,1 hr 35 mins,0.7,Paramount,1982
Friday the 13th Part VI: Jason Lives,5.2,R,1 hr 27 mins,5,Paramount,1986
Friday the 13th Part VII: The New Blood,3.7,R,1 hr 28 mins,3.5,Sean S. Cunningham Films,1988
Friday the 13th Part VIII: Jason Takes Manhattan,2.7,R,1 hr 40 mins,1.2,Paramount,1989
Friday the 13th: A New Beginning,2.6,R,1 hr 32 mins,1.8,Paramount,1985
Friday the 13th: The Final Chapter,5.1,R,1 hr 31 mins,1.9,Paramount,1984
From Russia with Love,8.4,PG,1 hr 55 mins,9.7,United Artists,1963
Full Metal Jacket,,R,1 hr 57 mins,8.1,Warner Bros. Pictures,1987
Funny Games,8.3,R,1 hr 49 mins,6.9,wega film vienna,1997
Furious 7,,PG-13,2 hrs 20 mins,7.2,Universal Pictures,2015
Fury,8.4,R,2 hrs 15 mins,7.6,Columbia Pictures,2014
Gangs of New York,8.1,R,2 hrs 47 mins,7.2,Miramax,2002
Gemini Man,8.3,PG-13,1 hr 57 mins,2.7,Skydance Media,2019
Get Out,,R,1 hr 44 mins,7.6,Blumhouse Productions,2017
Ghost Rider,4.8,PG-13,2 hrs 3 mins,2.6,Crystal Sky Pictures,2007
Ghost Rider: Spirit of Vengeance,3.1,PG-13,1 hr 36 mins,1.8,Columbia Pictures,2012
