title,audienceRating,contentRating,duration,durationHuman,rating,studio,year
Osmosis Jones,4.2,PG,5722800,1 hr 35 mins,5.6,Warner Bros. Pictures,2001
Over the Hedge,7.1,PG,5010677,1 hr 24 mins,7.5,DreamWorks Animation,2006
The Pacifier,5.8,PG,5720787,1 hr 35 mins,2.1,Walt Disney Pictures,2005
The Parent Trap,7,PG,7686995,2 hrs 8 mins,8.6,Walt Disney Pictures,1998
Pee-wee's Big Adventure,7.9,PG,5487529,1 hr 31 mins,8.7,Warner Bros. Pictures,1985
Penguins of Madagascar,6.3,PG,5509546,1 hr 32 mins,7.4,Pacific Data Images,2014
Pete's Dragon,7.2,PG,6165535,1 hr 43 mins,8.8,Whitaker Entertainment,2016
Peter Pan,8,G,4606527,1 hr 17 mins,7.9,Walt Disney Productions,1953
The Pink Panther,5.1,PG,5565602,1 hr 33 mins,2.1,Columbia Pictures,2006
The Pink Panther 2,4.2,PG,5521812,1 hr 32 mins,1.3,Columbia Pictures,2009
Pinocchio,7.3,G,5264297,1 hr 28 mins,10,Walt Disney Productions,1940
Pocahontas,6.4,G,4868787,1 hr 21 mins,5.5,Walt Disney Pictures,1995
Pokémon: Detective Pikachu,7.9,PG,6269097,1 hr 44 mins,6.8,Legendary Pictures,2019
The Polar Express,6.3,G,5996531,1 hr 40 mins,5.6,Castle Rock Entertainment,2004
Power Rangers,6.5,PG-13,7438528,2 hrs 4 mins,5.1,Lionsgate,2017
The Powerpuff Girls Movie,6,PG,4426784,1 hr 14 mins,6.4,Village Roadshow Pictures,2002
The Prince of Egypt,9,PG,5951014,1 hr 39 mins,8,DreamWorks Pictures,1998
The Princess and the Frog,7.4,G,5847762,1 hr 37 mins,8.5,Walt Disney Pictures,2009
The Princess Diaries,6.8,G,6928222,1 hr 55 mins,4.9,Walt Disney Pictures,2001
The Princess Diaries 2: Royal Engagement,5.9,G,6793162,1 hr 53 mins,2.6,Walt Disney Pictures,2004
Puss in Boots,6.7,PG,5414575,1 hr 30 mins,8.6,DreamWorks Animation,2011
Race to Witch Mountain,4.4,PG,5897982,1 hr 38 mins,4.2,Walt Disney Pictures,2009
Ralph Breaks the Internet,6.5,PG,6751187,1 hr 53 mins,8.8,Walt Disney Pictures,2018
Ratatouille,8.7,G,6633468,1 hr 51 mins,9.6,Walt Disney Pictures,2007
Ratchet & Clank,4.2,PG,5647400,1 hr 34 mins,2.1,Cinema Management Group,2016
Raya and the Last Dragon,9.7,PG,6449214,1 hr 47 mins,9.4,Walt Disney Pictures,2021
Real Steel,7.3,PG-13,7610688,2 hrs 7 mins,6,DreamWorks Pictures,2011
The Rescuers,6.8,G,4633844,1 hr 17 mins,8.1,Walt Disney Productions,1977
The Rescuers Down Under,6.8,G,4628339,1 hr 17 mins,7.1,Walt Disney Pictures,1990
Return to Oz,7.1,PG,6596670,1 hr 50 mins,5.4,Silver Screen Partners II,1985
Richie Rich,3.2,PG,5668905,1 hr 34 mins,2.6,Warner Bros. Pictures,1994
The Road to El Dorado,6.6,PG,5389224,1 hr 30 mins,4.8,DreamWorks Pictures,2000
Robin Hood,8.1,G,4982025,1 hr 23 mins,5.5,Walt Disney Productions,1973
The Santa Clause,6.5,PG,5828349,1 hr 37 mins,7.3,Walt Disney Pictures,1994
The Santa Clause 2,4.2,G,6262269,1 hr 44 mins,5.6,Walt Disney Pictures,2002
The Santa Clause 3: The Escape Clause,3.9,G,5516840,1 hr 32 mins,1.7,Walt Disney Pictures,2006
School of Rock,6.4,PG-13,6556286,1 hr 49 mins,9.2,Paramount,2003
Scooby-Doo,3.9,PG,5194857,1 hr 27 mins,3.2,Mosaic Media Group,2002
Scooby-Doo 2: Monsters Unleashed,4,PG,5570282,1 hr 33 mins,2.2,Warner Bros. Pictures,2004
The Secret Life of Pets,6.2,PG,5187198,1 hr 26 mins,7.2,Universal Pictures,2016
The Secret Life of Pets 2,9,PG,5163539,1 hr 26 mins,6,Universal Pictures,2019
The Shaggy Dog,3.9,PG,5915785,1 hr 39 mins,2.6,Walt Disney Pictures,2006
Shaun the Sheep Movie,8.1,PG,5125971,1 hr 25 mins,9.9,Aardman Animations,2015
A Shaun the Sheep Movie: Farmageddon,8,G,5207337,1 hr 27 mins,9.6,Aardman Animations,2019
Shrek,9,PG,5408486,1 hr 30 mins,8.8,DreamWorks Pictures,2001
Shrek 2,6.9,PG,5543379,1 hr 32 mins,8.9,DreamWorks Pictures,2004
Shrek Forever After,5.4,PG,5590584,1 hr 33 mins,5.7,DreamWorks Animation,2010
Shrek the Third,5.2,PG,5567853,1 hr 33 mins,4.1,Pacific Data Images,2007
Sing,7.2,PG,6473512,1 hr 48 mins,7.1,Universal Pictures,2016
Sing 2,9.8,PG,6589587,1 hr 50 mins,7.1,Universal Pictures,2021
The Sisterhood of the Traveling Pants,7.8,PG,7120155,1 hr 59 mins,7.7,Di Novi Pictures,2005
Sky High,5.7,PG,5969075,1 hr 39 mins,7.3,Walt Disney Pictures,2005
Sleeping Beauty,8,G,4510132,1 hr 15 mins,8.9,Walt Disney Productions,1959
Small Soldiers,4.5,PG-13,6587687,1 hr 50 mins,4.8,DreamWorks Pictures,1998
Snow White and the Seven Dwarfs,7.8,G,4991284,1 hr 23 mins,9.8,Walt Disney Productions,1938
Sonic the Hedgehog,9.3,PG,5933181,1 hr 39 mins,6.3,Paramount,2020
Sonic the Hedgehog 2,9.6,PG,7339090,2 hrs 2 mins,6.9,Paramount,2022
Soul,8.8,PG,6033874,1 hr 41 mins,9.5,Walt Disney Pictures,2020
Space Jam,6.3,PG,5240360,1 hr 27 mins,4.4,Warner Bros. Pictures,1996
Space Jam: A New Legacy,7.9,PG,6931262,1 hr 56 mins,2.6,Warner Bros. Pictures,2021
Spirit Untamed,9.5,PG,5261053,1 hr 28 mins,4.9,Universal Pictures,2021
The SpongeBob Movie: Sponge on the Run,5,PG,5491006,1 hr 32 mins,6.7,Paramount,2020
